Universal ACDC v.1.38
importing alife objects...
importing alife objects from file alife_l07_military.ltx...
team 0, squad 5, group 4, monach
team 0, squad 0, group 0, gar_m_crow_0005
team 0, squad 0, group 0, gar_m_crow_0006
team 0, squad 0, group 0, gar_m_crow_0007
team 0, squad 0, group 0, gar_m_crow_0008
team 0, squad 0, group 0, gar_m_crow_0009
team 0, squad 0, group 0, gar_m_crow_0010
team 0, squad 0, group 0, gar_m_crow_0011
team 0, squad 0, group 0, gar_m_crow_0012
team 0, squad 0, group 0, gar_m_crow_0013
team 0, squad 0, group 0, gar_m_crow_0014
team 0, squad 0, group 0, gar_m_crow_0015
team 0, squad 0, group 0, gar_m_crow_0016
team 0, squad 0, group 0, gar_m_crow_0017
team 0, squad 0, group 0, gar_m_crow_0018
team 0, squad 0, group 0, gar_m_crow_0019
team 0, squad 0, group 0, gar_m_crow_0020
team 0, squad 0, group 0, gar_m_crow_0021
team 0, squad 0, group 0, gar_m_crow_0022
team 0, squad 0, group 0, gar_m_crow_0023
team 0, squad 0, group 0, gar_m_crow_0024
team 0, squad 0, group 0, gar_m_crow_0025
team 0, squad 0, group 0, gar_boar_rush_0002
team 0, squad 0, group 0, gar_boar_rush_0006
team 0, squad 0, group 0, gar_boar_rush_0007
team 0, squad 0, group 0, gar_boar_rush_0008
team 0, squad 0, group 0, gar_boar_rush_0009
team 0, squad 0, group 0, gar_boar_rush_0010
team 0, squad 6, group 5, gar_pseudodog_weak
team 0, squad 5, group 4, tankist
importing alife objects from file alife_atp_for_test22.ltx...
team 0, squad 0, group 0, _m_car
team 0, squad 0, group 0, _m_car_0000
team 0, squad 0, group 0, _m_car_0001
team 0, squad 5, group 4, atp_zahar
team 0, squad 0, group 0, friend_krovosos
importing alife objects from file alife_l01_escape.ltx...
team 0, squad 5, group 4, esc_bratok_prisoner
team 0, squad 5, group 0, yarotheev
team 0, squad 5, group 4, esc_wolf_new
team 0, squad 5, group 4, esc_fanat_new
team 0, squad 5, group 4, esc_tolik
team 0, squad 5, group 4, esc_petruha
team 0, squad 0, group 0, bloodsucker_strong_ucen
team 0, squad 0, group 0, esc_bd__m_dog_e_0008
team 0, squad 0, group 0, esc_bd_m_dog_e_0009
team 0, squad 0, group 0, esc_bd__m_dog_e_0010
team 0, squad 0, group 0, esc_bd__m_dog_e_0011
team 0, squad 0, group 0, esc_bd__m_dog_e_0012
team 0, squad 0, group 0, esc_bd__m_dog_e_0013
team 0, squad 0, group 0, esc_bd__m_boar_e_0006
team 0, squad 0, group 0, esc_bd__m_boar_e_0007
team 0, squad 0, group 0, esc_bd__m_boar_e_0008
team 0, squad 1, group 6, esc_specnaz1
team 0, squad 1, group 6, esc_specnaz2
team 0, squad 1, group 6, esc_specnaz3
team 0, squad 1, group 6, esc_specnaz4
team 0, squad 1, group 6, esc_specnaz5
team 0, squad 1, group 6, esc_specnaz6
team 0, squad 1, group 1, esc_blokpost_soldier1
team 0, squad 1, group 1, esc_blokpost_soldier2
team 0, squad 1, group 1, esc_blokpost_soldier3
team 0, squad 1, group 1, esc_blokpost_soldier4
team 0, squad 1, group 1, esc_blokpost_soldier5
team 0, squad 1, group 1, esc_blokpost_soldier6
team 0, squad 1, group 1, esc_blokpost_soldier7
team 0, squad 1, group 1, esc_blokpost_soldier8
team 0, squad 1, group 1, esc_blokpost_soldier9
team 0, squad 1, group 1, esc_blokpost_commander
team 0, squad 0, group 0, esc_flesh_normal
team 0, squad 1, group 14, esc_dog_swarm_0001
team 0, squad 1, group 14, esc_dog_swarm_0002
team 0, squad 1, group 14, esc_dog_swarm_0004
team 0, squad 1, group 14, esc_dog_swarm_0007
team 0, squad 0, group 0, esc_flesh_normal_0000
team 0, squad 0, group 0, esc_flesh_normal_0004
team 0, squad 0, group 0, esc_flesh_normal_0008
team 0, squad 0, group 0, esc_m_crow
team 0, squad 0, group 0, esc_m_crow_0000
team 0, squad 0, group 0, esc_m_crow_0001
team 0, squad 0, group 0, esc_m_crow_0002
team 0, squad 0, group 0, esc_m_crow_0003
team 0, squad 0, group 0, esc_m_crow_0004
team 0, squad 0, group 0, esc_m_crow_0005
team 0, squad 0, group 0, esc_m_crow_0006
team 0, squad 0, group 0, esc_m_crow_0007
team 0, squad 0, group 0, esc_m_crow_0008
team 0, squad 0, group 0, esc_m_crow_0009
team 0, squad 0, group 0, esc_m_crow_0010
team 0, squad 0, group 0, esc_m_crow_0011
team 0, squad 0, group 0, esc_m_crow_0012
team 0, squad 0, group 0, esc_m_crow_0013
team 0, squad 0, group 0, esc_m_crow_0014
team 0, squad 0, group 0, esc_m_crow_0015
team 0, squad 0, group 0, esc_m_crow_0016
team 0, squad 0, group 0, esc_m_crow_0017
team 0, squad 0, group 0, esc_m_crow_0018
team 0, squad 0, group 0, esc_m_crow_0019
team 0, squad 0, group 0, esc_m_crow_0020
team 0, squad 0, group 0, esc_m_crow_0021
team 0, squad 0, group 0, esc_m_crow_0022
team 0, squad 0, group 0, esc_m_crow_0023
team 0, squad 0, group 0, esc_m_crow_0024
team 0, squad 0, group 0, esc_m_crow_0025
team 0, squad 0, group 0, esc_m_crow_0026
team 0, squad 0, group 0, esc_m_crow_0027
team 0, squad 0, group 0, esc_m_crow_0028
team 0, squad 0, group 0, esc_m_crow_0029
team 0, squad 0, group 0, esc_m_crow_0030
team 0, squad 0, group 0, esc_m_crow_0031
team 0, squad 0, group 0, esc_m_crow_0032
team 0, squad 0, group 0, esc_m_crow_0033
team 0, squad 0, group 0, esc_m_crow_0034
team 0, squad 0, group 0, esc_m_crow_0035
team 0, squad 0, group 0, esc_m_crow_0036
team 0, squad 0, group 0, esc_m_crow_0037
team 0, squad 0, group 0, esc_m_crow_0038
team 0, squad 0, group 0, esc_m_crow_0039
team 0, squad 0, group 0, esc_m_crow_0040
team 0, squad 0, group 0, esc_m_crow_0041
team 0, squad 0, group 0, esc_m_crow_0042
team 0, squad 0, group 0, esc_m_crow_0043
team 0, squad 0, group 0, esc_m_crow_0044
team 0, squad 0, group 0, esc_m_crow_0045
team 0, squad 0, group 0, esc_m_crow_0046
team 0, squad 0, group 0, esc_m_crow_0047
team 0, squad 0, group 0, esc_m_crow_0048
team 0, squad 0, group 0, esc_m_crow_0049
team 0, squad 0, group 0, esc_m_crow_0050
team 0, squad 0, group 0, esc_m_crow_0051
team 0, squad 0, group 0, esc_m_crow_0052
team 0, squad 0, group 0, esc_m_crow_0053
team 0, squad 0, group 0, esc_dog_weak
team 0, squad 0, group 0, esc_dog_weak_0000
team 0, squad 0, group 0, esc_dog_weak_0001
team 0, squad 0, group 0, esc_dog_weak_0003
team 0, squad 0, group 0, esc_dog_weak_0004
team 0, squad 1, group 15, esc_dog_weak_0002
team 0, squad 1, group 15, esc_dog_weak_0006
team 0, squad 1, group 15, esc_dog_weak_0007
team 0, squad 1, group 25, esc_boar_weak_0001
team 0, squad 1, group 25, esc_boar_weak_0002
team 0, squad 0, group 0, esc_boar_weak_0006
team 0, squad 1, group 22, esc_dog_weak_0009
team 0, squad 1, group 22, esc_dog_weak_0010
team 0, squad 1, group 22, esc_dog_weak_0011
team 0, squad 1, group 22, esc_dog_weak_0014
team 0, squad 1, group 22, esc_dog_weak_0015
team 0, squad 1, group 22, esc_flesh_weak_0000
team 0, squad 1, group 22, esc_boar_weak_0004
team 0, squad 11, group 11, esc_dog_strong
team 0, squad 11, group 12, esc_pseudodog_weak
team 0, squad 0, group 0, esc_flesh_normal_0001
team 0, squad 11, group 10, esc_dog_normal
team 0, squad 11, group 10, esc_dog_normal_0000
team 0, squad 1, group 22, esc_dog_weak_0012
team 0, squad 1, group 22, esc_dog_weak_0013
team 0, squad 0, group 0, esc_pseudodog_strong
team 0, squad 0, group 0, esc_dog_weak_0005
team 0, squad 0, group 0, esc_dog_weak_0008
team 0, squad 0, group 0, esc_dog_weak_0016
team 0, squad 0, group 0, esc_dog_normal_0001
team 0, squad 0, group 0, esc_dog_weak_0017
team 0, squad 0, group 0, esc_dog_weak_0018
team 0, squad 0, group 0, esc_dog_weak_0019
team 0, squad 0, group 0, esc_dog_weak_0020
team 0, squad 0, group 0, esc_dog_weak_0021
team 0, squad 0, group 0, esc_dog_weak_0022
team 0, squad 0, group 0, esc_dog_weak_0023
team 0, squad 0, group 0, esc_dog_weak_0024
team 0, squad 0, group 0, esc_dog_weak_0025
team 0, squad 0, group 0, esc_dog_weak_0026
team 0, squad 0, group 0, esc_dog_weak_0027
team 0, squad 0, group 0, esc_dog_weak_0028
team 0, squad 0, group 0, esc_dog_weak_0029
team 0, squad 0, group 0, esc_dog_weak_0030
team 0, squad 0, group 0, esc_dog_weak_0031
team 0, squad 0, group 0, esc_dog_weak_0032
team 0, squad 1, group 22, esc_boar_weak_0000
team 0, squad 1, group 22, esc_flesh_weak_0001
team 0, squad 0, group 0, esc_boar_weak
team 0, squad 0, group 0, esc_boar_weak_0003
importing alife objects from file alife_predbannik.ltx...
team 0, squad 0, group 0, predbannik_psy_dog_radar
team 0, squad 0, group 0, predbannik_psy_dog_radar_0000
team 0, squad 0, group 0, predbannik_bloodsucker_strong
team 0, squad 0, group 0, predbannik_bloodsucker_strong_0000
team 0, squad 0, group 0, predbannik_bloodsucker_strong_0001
team 0, squad 0, group 0, predbannik_psy_dog_radar_0001
team 0, squad 0, group 0, predbannik_snork_strong
team 0, squad 0, group 0, predbannik_snork_strong_0000
team 0, squad 0, group 0, predbannik_snork_strong_0001
team 0, squad 0, group 0, predbannik_snork_strong_0002
team 0, squad 0, group 0, predbannik_m_controller_old
team 0, squad 0, group 0, predbannik_boar_strong
team 0, squad 0, group 0, predbannik_boar_strong_0000
team 0, squad 0, group 0, predbannik_boar_strong_0001
team 0, squad 0, group 0, predbannik_boar_strong_0002
team 0, squad 0, group 0, predbannik_boar_strong_0003
team 0, squad 0, group 0, predbannik_flesh_strong
team 0, squad 0, group 0, predbannik_flesh_strong_0000
team 0, squad 0, group 0, predbannik_flesh_strong_0001
team 0, squad 0, group 0, predbannik_dog_normal
team 0, squad 0, group 0, predbannik_dog_normal_0000
team 0, squad 0, group 0, predbannik_dog_normal_0001
team 0, squad 0, group 0, predbannik_dog_normal_0002
team 0, squad 0, group 0, predbannik_dog_normal_0003
team 0, squad 0, group 0, predbannik_dog_weak
team 0, squad 0, group 0, predbannik_dog_weak_0000
team 0, squad 0, group 0, predbannik_dog_weak_0002
team 0, squad 0, group 0, predbannik_dog_weak_0003
team 0, squad 0, group 0, predbannik_flesh_strong_0002
team 0, squad 0, group 0, predbannik_flesh_strong_0003
team 0, squad 0, group 0, predbannik_flesh_strong_0004
team 0, squad 0, group 0, predbannik_flesh_strong_0005
team 0, squad 0, group 0, predbannik_flesh_strong_0006
team 0, squad 0, group 0, predbannik_m_controller_old_0000
team 0, squad 5, group 4, brown
team 0, squad 5, group 4, smith
team 0, squad 5, group 4, foster
team 0, squad 5, group 4, barman_stalker
team 0, squad 5, group 4, sidor_stalker
team 0, squad 5, group 4, maroder_gena
importing alife objects from file alife_l12u_sarcofag.ltx...
team 0, squad 18, group 1, haron
team 0, squad 18, group 1, trade_mono
team 0, squad 18, group 1, sar_mono1
team 0, squad 18, group 1, sar_mono3
team 0, squad 18, group 1, sar_mono5
team 0, squad 18, group 1, sar_mono6
team 0, squad 18, group 1, sar_mono7
importing alife objects from file alife_l10_radar.ltx...
team 0, squad 0, group 0, super_krovosos
team 0, squad 5, group 4, clear_scy_leader
team 0, squad 5, group 4, rad_nebo1
team 0, squad 5, group 4, rad_nebo2
team 0, squad 5, group 4, rad_nebo3
team 0, squad 5, group 4, rad_nebo4
team 0, squad 18, group 1, fedya_razboinik
team 0, squad 0, group 0, rad_m_pseudodog_e_0001
team 0, squad 0, group 0, rad_m_pseudodog_e_0003
team 0, squad 0, group 0, rad_m_pseudodog_e_0005
team 0, squad 0, group 0, rad_stalker_zombied_0010
team 0, squad 0, group 0, rad_stalker_zombied_0011
team 0, squad 0, group 0, rad_snork_jumper_0001
team 0, squad 0, group 0, rad_snork_jumper_0003
team 0, squad 0, group 0, rad_snork_jumper_0004
team 0, squad 0, group 0, rad_snork_jumper_0005
team 0, squad 0, group 0, rad_snork_jumper_0008
team 0, squad 0, group 0, rad_snork_jumper_0009
team 0, squad 0, group 0, rad_snork_jumper_0010
team 0, squad 0, group 0, rad_snork_jumper_0015
team 0, squad 0, group 0, rad_snork_jumper_0016
team 0, squad 0, group 0, rad_snork_jumper_0019
team 0, squad 0, group 0, rad_stalker_zombied
team 0, squad 0, group 0, rad_stalker_zombied_0000
team 0, squad 0, group 0, rad_stalker_zombied_0001
team 0, squad 0, group 0, rad_stalker_zombied_0002
team 0, squad 0, group 0, rad_stalker_zombied_0003
team 0, squad 0, group 0, rad_stalker_zombied_0004
team 0, squad 0, group 0, rad_stalker_zombied_0005
team 0, squad 0, group 0, rad_stalker_zombied_0006
team 0, squad 0, group 0, rad_stalker_zombied_0007
team 0, squad 0, group 0, rad_stalker_zombied_0008
team 0, squad 0, group 0, rad_stalker_zombied_0012
team 0, squad 0, group 0, rad_psy_dog
team 0, squad 0, group 0, rad_m_poltergeist_normal_tele
team 0, squad 0, group 0, rad_gigant_normal
importing alife objects from file alife_swamp.ltx...
team 0, squad 5, group 4, swamp_doctor
team 0, squad 5, group 4, swamp_grig
importing alife objects from file alife_l04u_labx18.ltx...
team 0, squad 0, group 0, dar_stalker0001
team 0, squad 0, group 0, dar_stalker
team 0, squad 0, group 0, dar_m_poltergeist_normal_flame_0000
team 0, squad 0, group 0, dar_gigant_normal
team 0, squad 0, group 0, dar_m_poltergeist_normal_tele
team 0, squad 0, group 0, dar_m_poltergeist_normal_tele_0000
team 0, squad 0, group 0, dar_m_poltergeist_normal_flame
team 0, squad 0, group 0, dar_m_poltergeist_normal_flame_0001
team 0, squad 0, group 0, dar_m_poltergeist_normal_flame_0002
team 5, squad 5, group 9, dar_snork_strong
team 5, squad 5, group 4, dar_snork_strong_0000
importing alife objects from file alife_l03_agroprom.ltx...
team 0, squad 0, group 0, contr_art1
team 0, squad 0, group 0, contr_art2
team 0, squad 0, group 0, contr_art3
team 0, squad 5, group 4, bes
team 0, squad 5, group 4, krot
team 0, squad 5, group 4, stalk_agro1
team 0, squad 5, group 4, stalk_agro2
team 0, squad 5, group 4, stalk_agro3
team 0, squad 5, group 4, stalk_agro4
team 0, squad 5, group 4, garbage_levsha
team 0, squad 0, group 0, agr_boar
team 0, squad 0, group 0, agr_boar_0005
team 2, squad 12, group 0, agr_flesh_normal
team 0, squad 0, group 0, agr_flesh_normal_0000
team 0, squad 0, group 0, agr_m_dog_e_0005
team 0, squad 0, group 0, agr_m_dog_e_0000
team 0, squad 0, group 0, agr_m_dog_e_0003
team 0, squad 0, group 0, agr_m_dog_e_0004
team 0, squad 0, group 0, agr_m_dog_e_0011
team 0, squad 0, group 0, agr_pseudodog_weak
team 0, squad 0, group 0, agr_pseudodog_weak_0000
team 0, squad 0, group 0, agr_dog_weak
team 0, squad 0, group 0, agr_dog_weak_0000
team 0, squad 0, group 0, agr_dog_normal
team 0, squad 0, group 0, agr_dog_normal_0000
team 2, squad 11, group 0, agr_pseudodog_normal
team 2, squad 11, group 3, agr_pseudodog_normal_0001
team 11, squad 4, group 0, agr_dog_normal_0001
team 11, squad 4, group 0, agr_dog_normal_0002
team 2, squad 11, group 5, agr_dog_normal_0003
team 0, squad 0, group 0, agr_boar_0000
team 0, squad 0, group 0, agr_boar_0001
importing alife objects from file alife_l08_yantar.ltx...
team 0, squad 5, group 4, esc_dan_nebo
team 8, squad 0, group 0, yantar_stalker_zombied_0000
team 8, squad 0, group 0, yantar_stalker_zombied_0001
team 8, squad 0, group 0, yantar_stalker_zombied_0002
team 8, squad 0, group 0, yantar_stalker_zombied_0005
team 8, squad 5, group 0, yantar_stalker_zombied_0007
team 8, squad 5, group 0, yantar_stalker_zombied_0008
team 8, squad 2, group 0, yantar_stalker_zombied_0043
team 8, squad 3, group 0, yantar_stalker_zombied_0046
team 0, squad 0, group 0, yantar_gulag_zombies_03
team 0, squad 0, group 0, yantar_gulag_zombies_01
team 0, squad 0, group 0, yantar_gulag_zombies_05
team 8, squad 6, group 0, yantar_stalker_zombied_0016
team 8, squad 0, group 0, yantar_stalker_zombied_0021
team 8, squad 6, group 0, yantar_stalker_zombied_0022
team 8, squad 6, group 0, yantar_stalker_zombied_0032
team 8, squad 5, group 0, yantar_stalker_zombied_0044
team 8, squad 5, group 0, yantar_stalker_zombied_0049
team 8, squad 8, group 1, yantar_ecolog_general
team 8, squad 8, group 8, yan_scientist_help
team 8, squad 0, group 0, yantar_stalker_zombied_0003
team 8, squad 0, group 0, yantar_stalker_zombied_0004
team 8, squad 0, group 4, yantar_stalker_zombied_0006
team 8, squad 0, group 0, yantar_stalker_zombied_0009
team 8, squad 0, group 0, yantar_stalker_zombied_0010
team 8, squad 0, group 0, yantar_stalker_zombied_0011
team 8, squad 0, group 4, yantar_stalker_zombied_0012
team 8, squad 2, group 0, yantar_stalker_zombied_0013
team 8, squad 0, group 0, yantar_stalker_zombied_0014
team 8, squad 6, group 2, yantar_gulag_zombies_0000
team 8, squad 6, group 2, yantar_gulag_zombies_0002
team 8, squad 0, group 4, yantar_stalker_zombied_0017
team 8, squad 0, group 4, yantar_stalker_zombied_0018
team 8, squad 0, group 4, yantar_stalker_zombied_0019
team 8, squad 0, group 4, yantar_stalker_zombied_0020
team 0, squad 0, group 0, yan_home_snork_01
team 0, squad 0, group 0, yan_home_snork_0001
team 0, squad 0, group 0, yan_home_snork_0000
team 0, squad 0, group 0, yan_home_snork_0002
team 0, squad 0, group 0, yan_home_snork_0003
team 0, squad 0, group 0, yan_home_snork_0005
team 0, squad 0, group 0, yan_home_snork_0006
team 0, squad 0, group 0, yan_home_snork_0009
team 0, squad 0, group 0, factory_m_snork_e_0013
team 0, squad 0, group 0, yan_home_snork_0011
team 0, squad 0, group 0, yan_home_snork_0017
team 0, squad 0, group 0, yan_jump_snork_1_03
team 0, squad 0, group 0, yan_jump_snork_7_0007
team 0, squad 0, group 0, yan_jump_snork_7_0008
team 0, squad 0, group 0, yan_jump_snork_5_0009
team 0, squad 0, group 0, yan_jump_snork_5_0011
team 0, squad 0, group 0, yan_home_snork_0004
team 0, squad 0, group 0, yan_home_snork_0019
team 0, squad 0, group 0, yan_home_snork_0020
team 0, squad 0, group 0, yan_jump_snork_1_0012
team 0, squad 0, group 0, yan_jump_snork_0009
team 0, squad 0, group 0, yan_jump_snork_2_001
team 0, squad 0, group 0, yan_jump_snork_4_0001
team 0, squad 0, group 0, yan_jump_snork_6_001
team 8, squad 2, group 0, yantar_stalker_zombied_0023
team 8, squad 2, group 0, yantar_stalker_zombied_0024
team 8, squad 2, group 0, yantar_stalker_zombied_0026
team 8, squad 2, group 0, yantar_stalker_zombied_0027
team 8, squad 2, group 0, yantar_stalker_zombied_0029
team 8, squad 2, group 0, yantar_stalker_zombied_0030
team 0, squad 0, group 0, factory_m_snork_e_0000
team 0, squad 0, group 0, factory_m_snork_e_0001
team 8, squad 2, group 0, yantar_stalker_zombied_0015
team 8, squad 2, group 0, yantar_stalker_zombied_0025
team 8, squad 2, group 0, yantar_stalker_zombied_0031
team 8, squad 2, group 0, yantar_stalker_zombied_0033
team 0, squad 0, group 0, factory_m_snork_e_0002
team 0, squad 0, group 0, factory_m_snork_e_0004
team 0, squad 0, group 0, factory_m_snork_e_0005
team 8, squad 21, group 0, yantar_m_gigant_e_0000
team 0, squad 0, group 0, yan_specnaz_dead
team 8, squad 0, group 4, yantar_stalker_zombied_0028
team 8, squad 0, group 4, yantar_stalker_zombied_0034
team 8, squad 0, group 4, yantar_stalker_zombied_0035
team 8, squad 0, group 4, yantar_stalker_zombied_0036
team 8, squad 0, group 4, yantar_stalker_zombied_0037
team 0, squad 5, group 4, vasil2
importing alife objects from file alife_l12_stancia.ltx...
team 0, squad 18, group 1, spy_aes
team 0, squad 18, group 1, spy_aes_dead1
team 0, squad 18, group 1, spy_aes_dead2
team 0, squad 18, group 1, dyak
team 0, squad 18, group 1, aes_zasada1
team 0, squad 18, group 1, aes_zasada2
team 0, squad 18, group 1, aes_zasada3
team 0, squad 18, group 1, aes_zasada4
team 0, squad 18, group 1, aes_zasada5
team 0, squad 18, group 1, aes_zasada6
importing alife objects from file alife_l11_pripyat.ltx...
